,0
BMIHEAD,100.0
SMQ665B,99.98919386211368
SMQ665D,99.97838772422736
SMQ665A,99.96758158634104
SMQ665C,99.95677544845472
SMQ661,99.84871406959152
BMIRECUM,99.74065269072834
SMD630,99.54614220877458
BMIHT,98.93019234925437
LUARXND,98.31424248973417
BMXHEAD,97.90360925005403
LUARXIN,97.21201642532958
BMIHIP,97.08234277069376
BMILEG,96.39074994596932
BMIARML,96.25027015344716
BMIARMC,96.2178517397882
BMIWT,95.50464663929111
BMIWAIST,95.27771774367841
PEASCCT1,95.20207477847418
LUARXNC,94.67257402204451
SMQ852U,94.39161443700021
ALQ290,94.35919602334127
SMQ852Q,94.35919602334127
SMQ848,94.29435919602334
BPXDI4,93.9917873352064
BPAEN4,93.9917873352064
BPXSY4,93.9917873352064
DMQADFC,93.9377566457748
RIDAGEMN,93.5487356818673
SMD100CO,92.489734169008
SMD100TR,92.489734169008
SMD100NI,92.489734169008
SMQ078,91.43073265614869
SMQ621,91.12816079533175
SMQ915,90.69591527987897
BMXRECUM,90.33931272963042
SMD100LN,89.96109790360926
SMD100MN,89.96109790360926
SMD100FL,89.96109790360926
SMD093,88.96693321806787
SMD650,88.95612708018155
SMQ670,88.81564728765939
SMD641,88.51307542684245
RIDEXPRG,88.00518694618543
SMQ905,87.57294143073266
SMQ050U,86.43829695266912
SMQ050Q,85.5413875081046
SMD057,85.5413875081046
PAD615,85.07672357899287
PAQ610,84.99027447590231
PAD645,84.54722282256321
PAD660,84.5364166846769
PAQ655,84.50399827101793
PAQ640,84.44996758158634
ALQ280,84.44996758158634
ALQ270,84.44996758158634
BPXCHR,83.3693537929544
DMDYRSUS,78.94964339744975
SMQ895,77.3611411281608
PAD675,75.135076723579
DMDEDUC3,75.08104603414739
PAQ670,75.05943375837477
SMD030,74.50832072617246
SMQ040,74.50832072617246
PAD630,73.78430948778907
PAQ625,73.64382969526692
LBDLDLSI,69.65636481521504
LBDLDLM,69.65636481521504
LBDLDL,69.65636481521504
LBDLDMSI,69.65636481521504
LBXIN,69.4726604711476
LBDINSI,69.4726604711476
LBDINLC,69.4726604711476
LBDLDNSI,69.45104819537498
LBDLDLN,69.45104819537498
LBXTR,69.37540523017074
LBDTRSI,69.37540523017074
LBXGLU,68.75945537065053
LBDGLUSI,68.75945537065053
WTSAF2YR_y,67.19256537713422
WTSAF2YR,67.19256537713422
WTSAF2YR_x,67.19256537713422
RIDEXAGM,62.9025286362654
ALQ170,62.31899719040415
ALQ130,62.2325480873136
ALQ142,62.2325480873136
ALQ151,50.89690944456451
ALQ121,50.8861033066782
DMDHSEDZ,48.66003890209639
AIALANGA,46.2178517397882
ALQ111,44.564512643181324
DMDMARTL,39.8206181110871
DMDEDUC2,39.8206181110871
LBXSLDSI,37.616165982277934
PAD680,36.82731791657661
PAQ665,36.71925653771343
SMQ900,36.71925653771343
PAQ620,36.71925653771343
PAQ605,36.71925653771343
PAQ650,36.71925653771343
PAQ635,36.71925653771343
SMQ890,36.71925653771343
SMQ910,36.71925653771343
SMQ020,36.71925653771343
LBXSASSI,36.43829695266911
LBXSKSI,36.25459260860169
LBXSCK,36.25459260860169
LBDSTRSI,36.232980332829044
LBXSTR,36.232980332829044
LBXSUA,36.232980332829044
LBXSOSSI,36.232980332829044
LBXSBU,36.232980332829044
LBXSGL,36.232980332829044
LBDSGBSI,36.232980332829044
LBXSGB,36.232980332829044
LBDSBUSI,36.232980332829044
LBXSC3SI,36.232980332829044
LBDSGLSI,36.232980332829044
LBDSPHSI,36.232980332829044
LBXSCA,36.232980332829044
LBDSCASI,36.232980332829044
LBXSPH,36.232980332829044
LBXSTP,36.232980332829044
LBDSUASI,36.232980332829044
LBDSTPSI,36.232980332829044
LBXSIR,36.22217419494273
LBDSATLC,36.22217419494273
LBXSATSI,36.22217419494273
LBDSIRSI,36.22217419494273
LBDSGTLC,36.22217419494273
LBXSGTSI,36.22217419494273
LBDSTBSI,36.22217419494273
LBDSCRSI,36.21136805705641
LBXSAPSI,36.21136805705641
LBXSCR,36.21136805705641
LBXSTB,36.21136805705641
LBXSCH,36.21136805705641
LBDSCHSI,36.21136805705641
LBDSTBLC,36.21136805705641
LBXSNASI,36.200561919170084
LBXSCLSI,36.200561919170084
LBXSAL,36.189755781283765
LBDSALSI,36.189755781283765
LUXCPIQR,35.811540955262586
LUXSIQRM,35.789928679489954
LUXCAPM,35.725091852172035
LUXSMED,35.703479576399396
LUANMVGP,35.703479576399396
LUXSIQR,35.62783661119516
DMQMILIZ,35.11994813053815
BMXHIP,34.74173330451696
LBXGH,34.67689647719905
BPXSY1,31.899719040414954
